Experiment,Model,beta,gamma,sigma,xi,NRMSE_S,NRMSE_E,NRMSE_I,NRMSE_R,Pearson_S,Pearson_E,Pearson_I,Pearson_R
small_simple,SI,0.1,0,0,0,0.013769582,7.695116778,0.013769582,7.695116778,0.964407168,nan,0.964407168,nan
small_simple,SI,0.2,0,0,0,0.004308176,7.695116778,0.004308176,7.695116778,0.995522439,nan,0.995522439,nan
small_simple,SI,0.3,0,0,0,0.014223505,7.695116778,0.014223505,7.695116778,0.944588986,nan,0.944588986,nan
small_simple,SI,0.4,0,0,0,0.019055067,7.695116778,0.019055067,7.695116778,0.888822234,nan,0.888822234,nan
small_simple,SI,0.5,0,0,0,0.026496525,7.695116778,0.026496525,7.695116778,0.789657735,nan,0.789657735,nan
small_simple,SI,0.6,0,0,0,0.022079627,7.695116778,0.022079627,7.695116778,0.814221536,nan,0.814221536,nan
small_simple,SI,0.7,0,0,0,0.027595007,7.695116778,0.027595007,7.695116778,0.731393971,nan,0.731393971,nan
small_simple,SI,0.8,0,0,0,0.028874717,7.695116778,0.028874717,7.695116778,0.709075875,nan,0.709075875,nan
small_simple,SI,0.9,0,0,0,0.027138698,7.695116778,0.027138698,7.695116778,0.705087459,nan,0.705087459,nan
small_simple,SI,1,0,0,0,0.031666996,7.695116778,0.031666996,7.695116778,0.629017222,nan,0.629017222,nan
