Experiment,Model,beta,gamma,sigma,xi,NRMSE_S,NRMSE_E,NRMSE_I,NRMSE_R,Pearson_S,Pearson_E,Pearson_I,Pearson_R
small_simple,SEIR,0.1,0.1,0.1,0,0.126885393,0.006030429,0.00598152,0.126369834,0.989840357,0.975210407,0.970916581,0.994678734
small_simple,SEIR,0.1,0.1,0.2,0,0.107163535,0.002495035,0.004583051,0.107191697,0.985796621,0.958932414,0.987092678,0.993811806
small_simple,SEIR,0.1,0.1,0.3,0,0.139818839,0.001542505,0.007002019,0.139197961,0.994004567,0.964845351,0.982421988,0.998537275
small_simple,SEIR,0.1,0.1,0.4,0,0.186262517,0.001685024,0.009344083,0.185394134,0.99669878,0.912291928,0.976977841,0.997283981
small_simple,SEIR,0.1,0.1,0.5,0,0.179777629,0.001589597,0.006674662,0.179450834,0.993204086,0.744514088,0.992293508,0.99771648
small_simple,SEIR,0.1,0.1,0.6,0,0.153410734,0.001015008,0.009631451,0.152859958,0.991508554,0.866786482,0.985291979,0.997466382
small_simple,SEIR,0.1,0.1,0.7,0,0.167361579,0.001360718,0.012469701,0.16703419,0.955262278,0.625740083,0.965283143,0.988887496
small_simple,SEIR,0.1,0.1,0.8,0,0.160278098,0.001289283,0.008533917,0.15976569,0.981422425,0.54619499,0.988528571,0.996821505
small_simple,SEIR,0.1,0.1,0.9,0,0.120189522,0.001097286,0.005377924,0.119873987,0.991090205,0.621564474,0.991691125,0.997713703
small_simple,SEIR,0.1,0.1,1,0,0.113736789,0.001253525,0.005373444,0.113554205,0.985717816,nan,0.991649081,0.99638326
small_simple,SEIR,0.1,0.2,0.1,0,0.112019177,0.002606519,0.003625039,0.111587855,0.986752161,0.960100342,0.976561826,0.990377655
small_simple,SEIR,0.1,0.2,0.2,0,0.052300336,0.001472902,0.002226801,0.052293744,0.974739183,0.869113021,0.988391146,0.992569628
small_simple,SEIR,0.1,0.2,0.3,0,0.079043086,0.00124946,0.001173616,0.078968582,0.990016727,0.869543548,0.996989746,0.997633787
small_simple,SEIR,0.1,0.2,0.4,0,0.046066519,0.000831027,0.001898797,0.046122066,0.970361213,0.916340168,0.992150327,0.995850902
small_simple,SEIR,0.1,0.2,0.5,0,0.002126239,0.000855655,0.002793666,0.004801597,0.958603305,0.804374045,0.982053672,0.979884781
small_simple,SEIR,0.1,0.2,0.6,0,0.099254409,0.000960756,0.003731139,0.099334033,0.973415108,0.647346224,0.978045079,0.990726187
small_simple,SEIR,0.1,0.2,0.7,0,0.092476304,0.000833788,0.003862665,0.092426272,0.986238107,0.645398673,0.976584675,0.990641363
small_simple,SEIR,0.1,0.2,0.8,0,0.065804844,0.000803895,0.001566531,0.065783031,0.993211155,0.611051072,0.995325696,0.998535967
small_simple,SEIR,0.1,0.2,0.9,0,0.138870574,0.000773862,0.004252123,0.138550052,0.99500524,0.454253869,0.972047337,0.990850984
small_simple,SEIR,0.1,0.2,1,0,0.065943956,0.000788142,0.00360949,0.065843783,0.9829415,nan,0.98007619,0.994740326
small_simple,SEIR,0.1,0.3,0.1,0,0.079066204,0.003646783,0.002250291,0.078698229,0.967612799,0.974249284,0.98284639,0.975177211
small_simple,SEIR,0.1,0.3,0.2,0,0.02708381,0.001553687,0.002448656,0.027179836,0.82184987,0.692055729,0.984015144,0.962656818
small_simple,SEIR,0.1,0.3,0.3,0,0.027116705,0.001000604,0.001564936,0.027056565,0.968283117,0.806475969,0.992604692,0.986602436
small_simple,SEIR,0.1,0.3,0.4,0,0.059437472,0.001018774,0.001477048,0.0593955,0.987413753,0.962822855,0.995001969,0.997360493
small_simple,SEIR,0.1,0.3,0.5,0,0.01278406,0.00071459,0.002189307,0.012960247,0.986532636,0.785405948,0.985889138,0.994561421
