Experiment,Model,beta,gamma,sigma,xi,NRMSE_S,NRMSE_E,NRMSE_I,NRMSE_R,Pearson_S,Pearson_E,Pearson_I,Pearson_R,,,,
small_simple,SIRS,0.1,0.5,0,0.3,0.003930023,7.695116778,0.00254403,0.002320182,0.978393845,nan,0.968880283,0.966142227,,,,
small_simple,SIRS,0.1,0.5,0,0.4,0.002856894,7.695116778,0.00188846,0.00176501,0.988872493,nan,0.985042917,0.972407257,,,,
small_simple,SIRS,0.1,0.5,0,0.5,0.00403579,7.695116778,0.001734575,0.002621019,0.967172118,nan,0.984714458,0.954510368,,,,
small_simple,SIRS,0.1,0.5,0,0.6,0.005576541,7.695116778,0.00234695,0.003498704,0.934278607,nan,0.97699524,0.858409833,,,,
small_simple,SIRS,0.1,0.5,0,0.7,0.004761006,7.695116778,0.002830257,0.002335724,0.95363719,nan,0.965592606,0.915263018,,,,
small_simple,SIRS,0.1,0.5,0,0.8,0.004225848,7.695116778,0.001918025,0.002364967,0.959612799,nan,0.98483763,0.942747262,,,,
small_simple,SIRS,0.1,0.5,0,0.9,0.00518859,7.695116778,0.002024239,0.003228828,0.928066823,nan,0.981748776,0.819008356,,,,
small_simple,SIRS,0.1,0.5,0,1,0.004775529,7.695116778,0.001642473,0.003277222,0.942622398,nan,0.989060419,nan,,,,
small_simple,SIRS,0.1,0.6,0,0.1,0.004776799,7.695116778,0.001822521,0.004948899,0.978890262,nan,0.98144197,0.957413268,,,,
small_simple,SIRS,0.1,0.6,0,0.2,0.004113542,7.695116778,0.002401124,0.002839002,0.986432773,nan,0.971211053,0.979378555,,,,
small_simple,SIRS,0.1,0.6,0,0.3,0.00373555,7.695116778,0.002572202,0.002713884,0.979198352,nan,0.964593572,0.949665904,,,,
small_simple,SIRS,0.1,0.6,0,0.4,0.003301874,7.695116778,0.001757782,0.002227484,0.980549745,nan,0.983957659,0.961910956,,,,
small_simple,SIRS,0.1,0.6,0,0.5,0.00270614,7.695116778,0.001482983,0.001855552,0.986938956,nan,0.989259261,0.970421304,,,,
small_simple,SIRS,0.1,0.6,0,0.6,0.006269261,7.695116778,0.002799412,0.003719629,0.891082098,nan,0.957114724,0.857628147,,,,
small_simple,SIRS,0.1,0.6,0,0.7,0.004022505,7.695116778,0.001241269,0.002936077,0.961312159,nan,0.992163565,0.944840219,,,,
small_simple,SIRS,0.1,0.6,0,0.8,0.005351868,7.695116778,0.002375937,0.003001703,0.915495938,nan,0.970367831,0.860546905,,,,
small_simple,SIRS,0.1,0.6,0,0.9,0.005466189,7.695116778,0.002774096,0.002943303,0.904740325,nan,0.959812214,0.721487212,,,,
small_simple,SIRS,0.1,0.6,0,1,0.004634427,7.695116778,0.001409058,0.003403411,0.933049207,nan,0.989649077,nan,,,,
small_simple,SIRS,0.1,0.7,0,0.1,0.003700037,7.695116778,0.002840069,0.003800361,0.992165779,nan,0.952201065,0.976152683,,,,
small_simple,SIRS,0.1,0.7,0,0.2,0.001567057,7.695116778,0.002048283,0.001937315,0.996417828,nan,0.974628003,0.988630039,,,,
small_simple,SIRS,0.1,0.7,0,0.3,0.003383076,7.695116778,0.003077635,0.002558087,0.981222954,nan,0.941266378,0.955021409,,,,
small_simple,SIRS,0.1,0.7,0,0.4,0.00455901,7.695116778,0.00274349,0.002848838,0.957072567,nan,0.954876359,0.925760497,,,,
small_simple,SIRS,0.1,0.7,0,0.5,0.004426985,7.695116778,0.002714389,0.002217275,0.954637379,nan,0.955105264,0.951880145,,,,
small_simple,SIRS,0.1,0.7,0,0.6,0.005139278,7.695116778,0.002491847,0.002828221,0.928809064,nan,0.963351793,0.952042025,,,,
small_simple,SIRS,0.1,0.7,0,0.7,0.005173551,7.695116778,0.002200022,0.003293952,0.917733813,nan,0.97243793,0.810068034,,,,
small_simple,SIRS,0.1,0.7,0,0.8,0.006076532,7.695116778,0.00270634,0.003445977,0.868167491,nan,0.95610092,0.936475987,,,,
small_simple,SIRS,0.1,0.7,0,0.9,0.006012333,7.695116778,0.002836519,0.003274928,0.861526994,nan,0.951037327,0.830265158,,,,
small_simple,SIRS,0.1,0.7,0,1,0.005647761,7.695116778,0.002144043,0.00351346,0.872811611,nan,0.97272813,nan,,,,
small_simple,SIRS,0.1,0.8,0,0.1,0.005965437,7.695116778,0.003190849,0.005980432,0.97799723,nan,0.931456696,0.946761203,,,,
small_simple,SIRS,0.1,0.8,0,0.2,0.003785254,7.695116778,0.002263227,0.003436169,0.981876559,nan,0.967462659,0.955320572,,,,
small_simple,SIRS,0.1,0.8,0,0.3,0.004919723,7.695116778,0.003139474,0.003876836,0.960337896,nan,0.933656093,0.905729988,,,,
small_simple,SIRS,0.1,0.8,0,0.4,0.004139377,7.695116778,0.002681954,0.002796702,0.964066073,nan,0.952788017,0.926699308,,,,
small_simple,SIRS,0.1,0.8,0,0.5,0.005540893,7.695116778,0.003096637,0.003459851,0.915761362,nan,0.935250873,0.856446463,,,,
small_simple,SIRS,0.1,0.8,0,0.6,0.00468017,7.695116778,0.002689091,0.00290459,0.934951445,nan,0.952303066,0.856830557,,,,
small_simple,SIRS,0.1,0.8,0,0.7,0.004619686,7.695116778,0.002142259,0.00284865,0.926823493,nan,0.970491648,0.835832348,,,,
small_simple,SIRS,0.1,0.8,0,0.8,0.004735173,7.695116778,0.002393036,0.002897706,0.916318308,nan,0.962535771,0.753387266,,,,
small_simple,SIRS,0.1,0.8,0,0.9,0.006255979,7.695116778,0.002626685,0.003669763,0.828540153,nan,0.953654542,0.814403922,,,,
small_simple,SIRS,0.1,0.8,0,1,0.006616969,7.695116778,0.003013918,0.003631985,0.791319513,nan,0.937347151,nan,,,,
small_simple,SIRS,0.1,0.9,0,0.1,0.002901935,7.695116778,0.003195543,0.003182732,0.996959558,nan,0.925867778,0.982701431,,,,
small_simple,SIRS,0.1,0.9,0,0.2,0.003976149,7.695116778,0.003001903,0.003855288,0.97698971,nan,0.935033243,0.939123406,,,,
