Experiment,Model,beta,gamma,sigma,xi,NRMSE_S,NRMSE_E,NRMSE_I,NRMSE_R,Pearson_S,Pearson_E,Pearson_I,Pearson_R
large_complex,SEIR,0.1,0.4,0.8,0,0.558603291,0.001582524,0.056531865,0.506994005,0.233888403,0.935732908,0.162109988,0.313149105
large_complex,SEIR,0.1,0.4,0.9,0,0.539425786,0.001666537,0.042994108,0.499984356,0.191397501,0.920870985,0.234329771,0.258814401
large_complex,SEIR,0.1,0.4,1,0,0.519561567,0.001813736,0.0276259,0.494209985,0.17693193,0.899211215,0.381546671,0.239537897
large_complex,SEIR,0.1,0.5,0.1,0,0.253784572,0.002488854,0.001208162,0.25358736,0.491041576,0.984813653,0.979576037,0.635506237
large_complex,SEIR,0.1,0.5,0.2,0,0.141254639,0.001523808,0.001174603,0.141158929,0.470399469,0.987298982,0.985126628,0.703498746
large_complex,SEIR,0.1,0.5,0.3,0,0.088446282,0.00171384,0.001331168,0.088368342,0.405105791,0.972410898,0.980373864,0.707355786
large_complex,SEIR,0.1,0.5,0.4,0,0.074484795,0.001700888,0.001635529,0.074404896,0.331185444,0.963865265,0.968777462,0.651675117
large_complex,SEIR,0.1,0.5,0.5,0,0.090123945,0.00162357,0.001590774,0.090049792,0.315386907,0.955758143,0.972579153,0.606049526
large_complex,SEIR,0.1,0.5,0.6,0,0.071669945,0.001431568,0.00153219,0.071599897,0.321931452,0.959671373,0.975045579,0.656506078
large_complex,SEIR,0.1,0.5,0.7,0,0.081692286,0.001573389,0.001717532,0.081631004,0.293705035,0.941446018,0.971645205,0.606121056
large_complex,SEIR,0.1,0.5,0.8,0,0.106307417,0.001548721,0.001831048,0.106232014,0.259339624,0.936353601,0.967037811,0.51202325
large_complex,SEIR,0.1,0.5,0.9,0,0.111932686,0.001640892,0.002440238,0.111862693,0.233518395,0.92242921,0.943214256,0.462436406
large_complex,SEIR,0.1,0.5,1,0,0.026619341,0.001818781,0.002452025,0.026552514,0.458835175,0.898714601,0.946181504,0.974014247
large_complex,SEIR,0.1,0.6,0.1,0,0.077436803,0.001031487,0.00109631,0.077384778,0.630106165,0.997049052,0.98155116,0.879959633
large_complex,SEIR,0.1,0.6,0.2,0,0.1241702,0.00144649,0.001162729,0.124119768,0.505013729,0.987563885,0.98290282,0.75709978
large_complex,SEIR,0.1,0.6,0.3,0,0.040273686,0.00184028,0.001044128,0.040228458,0.552668946,0.966983912,0.985657601,0.910788203
large_complex,SEIR,0.1,0.6,0.4,0,0.024266342,0.001326728,0.001039593,0.024197772,0.450864851,0.976373516,0.986907804,0.896483328
large_complex,SEIR,0.1,0.6,0.5,0,0.023964547,0.001374261,0.001141931,0.023923098,0.599512149,0.968259618,0.983864613,0.957173574
large_complex,SEIR,0.1,0.6,0.6,0,0.02568883,0.001452905,0.001684494,0.025640586,0.476113889,0.956298621,0.962843454,0.978176165
large_complex,SEIR,0.1,0.6,0.7,0,0.022684494,0.001388161,0.001746207,0.022648549,0.555874947,0.95462552,0.962097489,0.98275041
large_complex,SEIR,0.1,0.6,0.8,0,0.027780265,0.001615166,0.001677361,0.027730022,0.50870729,0.929776124,0.96931905,0.98713649
large_complex,SEIR,0.1,0.6,0.9,0,0.035081592,0.001751102,0.002107518,0.03505706,0.529515082,0.910726044,0.947262529,0.973169297
large_complex,SEIR,0.1,0.6,1,0,0.022693458,0.001816477,0.002090517,0.022660587,0.526667222,0.898923924,0.950847161,0.981126999
large_complex,SEIR,0.1,0.7,0.1,0,0.050517839,0.001993705,0.000910489,0.050484224,0.662969834,0.990813158,0.985470861,0.92901492
large_complex,SEIR,0.1,0.7,0.2,0,0.003943738,0.00127383,0.001163599,0.003518072,0.653624202,0.990173421,0.980841366,0.98393074
large_complex,SEIR,0.1,0.7,0.3,0,0.005785813,0.001486929,0.00094913,0.005609911,0.569440299,0.97846993,0.988059371,0.971876343
large_complex,SEIR,0.1,0.7,0.4,0,0.013952002,0.001458781,0.000960537,0.013882805,0.526908861,0.970998675,0.987857028,0.955377998
large_complex,SEIR,0.1,0.7,0.5,0,0.020880636,0.001486879,0.00119782,0.020845863,0.578938193,0.960419786,0.978670676,0.983971571
large_complex,SEIR,0.1,0.7,0.6,0,0.023789141,0.00132771,0.001202523,0.023758214,0.58695105,0.963298501,0.978348314,0.985961156
large_complex,SEIR,0.1,0.7,0.7,0,0.031844705,0.001436488,0.001572774,0.031824918,0.715586691,0.95052868,0.963127875,0.975981858
large_complex,SEIR,0.1,0.7,0.8,0,0.026744104,0.001457871,0.001682252,0.026730485,0.530928641,0.943700697,0.958871167,0.977934228
large_complex,SEIR,0.1,0.7,0.9,0,0.033322271,0.00180604,0.002161836,0.033324373,0.520094234,0.904466256,0.936978328,0.965759611
large_complex,SEIR,0.1,0.7,1,0,0.031113239,0.001808603,0.002316278,0.03112347,0.658217567,0.899665519,0.929541376,0.966044043
large_complex,SEIR,0.1,0.8,0.1,0,0.035664912,0.001360289,0.001212309,0.035635204,0.69644497,0.994346574,0.967075156,0.957241614
large_complex,SEIR,0.1,0.8,0.2,0,0.009012201,0.001223259,0.001115155,0.00889274,0.657217766,0.990296703,0.97835156,0.98370058
large_complex,SEIR,0.1,0.8,0.3,0,0.002610572,0.000770454,0.00107464,0.002328006,0.565212602,0.994490763,0.982673683,0.980900654
large_complex,SEIR,0.1,0.8,0.4,0,0.010537773,0.001482784,0.000961445,0.010498047,0.619120701,0.969503424,0.985885237,0.989191114
large_complex,SEIR,0.1,0.8,0.5,0,0.016371531,0.001487892,0.001087657,0.016364135,0.585465675,0.961076163,0.980182121,0.984568313
large_complex,SEIR,0.1,0.8,0.6,0,0.021440104,0.00125106,0.000939888,0.021418022,0.67538055,0.966645756,0.985834112,0.986769858
large_complex,SEIR,0.1,0.8,0.7,0,0.01857743,0.001465949,0.001336283,0.018573874,0.517497884,0.947770593,0.969519015,0.981648848
large_complex,SEIR,0.1,0.8,0.8,0,0.027356773,0.001580002,0.001481842,0.027353621,0.348572565,0.932753382,0.96426432,0.975537477
large_complex,SEIR,0.1,0.8,0.9,0,0.028059268,0.001593717,0.001938775,0.02808004,0.777020869,0.926932497,0.941755942,0.966468849
large_complex,SEIR,0.1,0.8,1,0,0.029540823,0.001796613,0.002338984,0.029572261,nan,0.900797052,0.918861086,0.95827673
large_complex,SEIR,0.1,0.9,0.1,0,0.020255528,0.001059199,0.00140673,0.020265192,0.79416715,0.997436678,0.949102912,0.985569957
large_complex,SEIR,0.1,0.9,0.2,0,0.029125986,0.000842451,0.001231443,0.029116448,0.676746924,0.995187804,0.967530057,0.97035125
large_complex,SEIR,0.1,0.9,0.3,0,0.008692208,0.001151965,0.001012732,0.008591767,0.559188429,0.984309259,0.981497571,0.991383218
large_complex,SEIR,0.1,0.9,0.4,0,0.014380211,0.001373891,0.000894692,0.014369349,0.61430607,0.973406044,0.986119402,0.988190006
large_complex,SEIR,0.1,0.9,0.5,0,0.014352929,0.001233221,0.00104431,0.014353029,0.592981886,0.973325284,0.982382559,0.987017853
large_complex,SEIR,0.1,0.9,0.6,0,0.023894966,0.00138546,0.001130195,0.023903676,0.400430954,0.958829396,0.975752588,0.975046681
large_complex,SEIR,0.1,0.9,0.7,0,0.023143012,0.001303052,0.001202677,0.023154081,0.506848495,0.959524012,0.973118458,0.976536043
large_complex,SEIR,0.1,0.9,0.8,0,0.026078074,0.001556398,0.001811958,0.026120637,nan,0.93492923,0.939090705,0.960185161
large_complex,SEIR,0.1,0.9,0.9,0,0.026078831,0.00175698,0.002020082,0.02613487,nan,0.909516301,0.927272045,0.954629871
large_complex,SEIR,0.1,0.9,1,0,0.026079479,0.001781849,0.002182507,0.026130704,nan,0.902187931,0.919793643,0.956677502
large_complex,SEIR,0.1,1,0.1,0,0.019388262,0.001278349,0.00142514,0.019448887,0.82685914,0.996048944,0.943933467,0.990521467
large_complex,SEIR,0.1,1,0.2,0,0.002320896,0.001275771,0.001246942,0.002317293,0.634440367,0.990113321,0.962829303,0.987977829
large_complex,SEIR,0.1,1,0.3,0,0.002292893,0.001231357,0.001101372,0.002305032,0.672056674,0.983674043,0.974843637,0.99233568
large_complex,SEIR,0.1,1,0.4,0,0.017481535,0.001052104,0.001038075,0.017476408,0.573018765,0.984761779,0.979606891,0.987934802
large_complex,SEIR,0.1,1,0.5,0,0.011607438,0.001467624,0.001013135,0.011660908,0.619605002,0.960161067,0.980026678,0.982270655
large_complex,SEIR,0.1,1,0.6,0,0.018952481,0.001117444,0.001047331,0.018965118,0.448290665,0.973884917,0.979655092,0.981104254
large_complex,SEIR,0.1,1,0.7,0,0.023341021,0.001378192,0.001149399,0.023369505,nan,0.953576848,0.97308416,0.969546595
large_complex,SEIR,0.1,1,0.8,0,0.023341924,0.001609272,0.001628054,0.023398847,nan,0.929741798,0.945758762,0.96011073
