Experiment,Model,beta,gamma,sigma,xi,NRMSE_S,NRMSE_E,NRMSE_I,NRMSE_R,Pearson_S,Pearson_E,Pearson_I,Pearson_R
large_complex,SIS,0.1,0.1,0,0,0.653484324,0.855012975,0.653484324,0.855012975,-0.818951054,nan,-0.818951054,nan
large_complex,SIS,0.1,0.2,0,0,0.489767375,0.855012975,0.489767375,0.855012975,-0.404377226,nan,-0.404377226,nan
large_complex,SIS,0.1,0.3,0,0,0.289922007,0.855012975,0.289922007,0.855012975,-0.146759223,nan,-0.146759223,nan
large_complex,SIS,0.1,0.4,0,0,0.044262162,0.855012975,0.044262162,0.855012975,0.088862809,nan,0.088862809,nan
large_complex,SIS,0.1,0.5,0,0,0.001549545,0.855012975,0.001549545,0.855012975,0.958616958,nan,0.958616958,nan
large_complex,SIS,0.1,0.6,0,0,0.001502238,0.855012975,0.001502238,0.855012975,0.954547053,nan,0.954547053,nan
large_complex,SIS,0.1,0.7,0,0,0.001654335,0.855012975,0.001654335,0.855012975,0.93469445,nan,0.93469445,nan
large_complex,SIS,0.1,0.8,0,0,0.001579499,0.855012975,0.001579499,0.855012975,0.934556088,nan,0.934556088,nan
large_complex,SIS,0.1,0.9,0,0,0.001736599,0.855012975,0.001736599,0.855012975,0.913049467,nan,0.913049467,nan
large_complex,SIS,0.1,1,0,0,0.001808944,0.855012975,0.001808944,0.855012975,0.899617427,nan,0.899617427,nan
large_complex,SIS,0.2,0.1,0,0,0.266036289,0.855012975,0.266036289,0.855012975,0.778357982,nan,0.778357982,nan
large_complex,SIS,0.2,0.2,0,0,0.504239676,0.855012975,0.504239676,0.855012975,-0.869093571,nan,-0.869093571,nan
large_complex,SIS,0.2,0.3,0,0,0.308732575,0.855012975,0.308732575,0.855012975,-0.224188904,nan,-0.224188904,nan
large_complex,SIS,0.2,0.4,0,0,0.003140617,0.855012975,0.003140617,0.855012975,0.88689826,nan,0.88689826,nan
large_complex,SIS,0.2,0.5,0,0,0.002467806,0.855012975,0.002467806,0.855012975,0.907708355,nan,0.907708355,nan
large_complex,SIS,0.2,0.6,0,0,0.002027279,0.855012975,0.002027279,0.855012975,0.923231287,nan,0.923231287,nan
large_complex,SIS,0.2,0.7,0,0,0.001867107,0.855012975,0.001867107,0.855012975,0.923541652,nan,0.923541652,nan
large_complex,SIS,0.2,0.8,0,0,0.001850579,0.855012975,0.001850579,0.855012975,0.914624344,nan,0.914624344,nan
large_complex,SIS,0.2,0.9,0,0,0.001929507,0.855012975,0.001929507,0.855012975,0.897111377,nan,0.897111377,nan
large_complex,SIS,0.2,1,0,0,0.002005841,0.855012975,0.002005841,0.855012975,0.880552482,nan,0.880552482,nan
large_complex,SIS,0.3,0.1,0,0,0.14312743,0.855012975,0.14312743,0.855012975,0.623349188,nan,0.623349188,nan
large_complex,SIS,0.3,0.2,0,0,0.260245918,0.855012975,0.260245918,0.855012975,0.504703819,nan,0.504703819,nan
large_complex,SIS,0.3,0.3,0,0,0.315589356,0.855012975,0.315589356,0.855012975,-0.637048064,nan,-0.637048064,nan
large_complex,SIS,0.3,0.4,0,0,0.059454985,0.855012975,0.059454985,0.855012975,-0.017722675,nan,-0.017722675,nan
large_complex,SIS,0.3,0.5,0,0,0.003301142,0.855012975,0.003301142,0.855012975,0.864111617,nan,0.864111617,nan
large_complex,SIS,0.3,0.6,0,0,0.002637567,0.855012975,0.002637567,0.855012975,0.886174692,nan,0.886174692,nan
large_complex,SIS,0.3,0.7,0,0,0.0023728,0.855012975,0.0023728,0.855012975,0.886009285,nan,0.886009285,nan
large_complex,SIS,0.3,0.8,0,0,0.002228316,0.855012975,0.002228316,0.855012975,0.883331994,nan,0.883331994,nan
large_complex,SIS,0.3,0.9,0,0,0.002169933,0.855012975,0.002169933,0.855012975,0.876331651,nan,0.876331651,nan
large_complex,SIS,0.3,1,0,0,0.002216561,0.855012975,0.002216561,0.855012975,0.859465338,nan,0.859465338,nan
large_complex,SIS,0.4,0.1,0,0,0.091167525,0.855012975,0.091167525,0.855012975,0.534026503,nan,0.534026503,nan
large_complex,SIS,0.4,0.2,0,0,0.15282851,0.855012975,0.15282851,0.855012975,0.365922907,nan,0.365922907,nan
large_complex,SIS,0.4,0.3,0,0,0.163161786,0.855012975,0.163161786,0.855012975,0.224773559,nan,0.224773559,nan
large_complex,SIS,0.4,0.4,0,0,0.042392812,0.855012975,0.042392812,0.855012975,-0.242936355,nan,-0.242936355,nan
large_complex,SIS,0.4,0.5,0,0,0.004793968,0.855012975,0.004793968,0.855012975,0.796481994,nan,0.796481994,nan
large_complex,SIS,0.4,0.6,0,0,0.003427043,0.855012975,0.003427043,0.855012975,0.839679141,nan,0.839679141,nan
large_complex,SIS,0.4,0.7,0,0,0.002740357,0.855012975,0.002740357,0.855012975,0.868997119,nan,0.868997119,nan
