Experiment,Model,beta,gamma,sigma,xi,NRMSE_S,NRMSE_E,NRMSE_I,NRMSE_R,Pearson_S,Pearson_E,Pearson_I,Pearson_R
large_complex,SIR,0.1,0.1,0,0,0.388664683,0.855012975,0.654170519,0.266333567,0.964017926,nan,-0.915890207,0.049683505
large_complex,SIR,0.1,0.2,0,0,0.557134322,0.855012975,0.470646597,0.099537922,0.579922106,nan,-0.368362038,0.444865201
large_complex,SIR,0.1,0.3,0,0,0.582159499,0.855012975,0.2723393,0.321652245,0.295256112,nan,-0.130994079,0.335577978
large_complex,SIR,0.1,0.4,0,0,0.526063045,0.855012975,0.033276361,0.497179908,0.135068251,nan,0.137514336,0.159523732
large_complex,SIR,0.1,0.5,0,0,0.023553848,0.855012975,0.00149001,0.023526674,0.48013139,nan,0.960788531,0.970299683
large_complex,SIR,0.1,0.6,0,0,0.022837343,0.855012975,0.001354489,0.022829547,0.79142445,nan,0.962707746,0.961852484
large_complex,SIR,0.1,0.7,0,0,0.02110218,0.855012975,0.001369084,0.021100506,nan,nan,0.955520623,0.955664429
large_complex,SIR,0.1,0.8,0,0,0.018223119,0.855012975,0.001440203,0.018235967,nan,nan,0.943625405,0.943751888
large_complex,SIR,0.1,0.9,0,0,0.016034469,0.855012975,0.001563074,0.01606855,nan,nan,0.92782965,0.92793434
large_complex,SIR,0.1,1,0,0,0.014314605,0.855012975,0.001717736,0.014376548,nan,nan,0.908170786,0.90825868
large_complex,SIR,0.2,0.1,0,0,0.121821579,0.855012975,0.654271416,0.5363277,0.900429466,nan,-0.927724581,0.076380421
large_complex,SIR,0.2,0.2,0,0,0.384032722,0.855012975,0.469093469,0.094953465,0.618858809,nan,-0.453275148,0.488337916
large_complex,SIR,0.2,0.3,0,0,0.492229744,0.855012975,0.270391316,0.234246068,0.332782297,nan,-0.161762629,0.383846339
large_complex,SIR,0.2,0.4,0,0,0.42747849,0.855012975,0.015738692,0.413310477,0.122741133,nan,0.324702479,0.144104345
large_complex,SIR,0.2,0.5,0,0,0.050992971,0.855012975,0.001969708,0.050929299,0.530141686,nan,0.941741643,0.945621739
large_complex,SIR,0.2,0.6,0,0,0.057001519,0.855012975,0.00180188,0.056960536,nan,nan,0.938706913,0.939949859
large_complex,SIR,0.2,0.7,0,0,0.04706918,0.855012975,0.001781195,0.047042108,nan,nan,0.92793853,0.928854393
large_complex,SIR,0.2,0.8,0,0,0.040061245,0.855012975,0.001610688,0.040042641,nan,nan,0.933893187,0.934543204
large_complex,SIR,0.2,0.9,0,0,0.034858879,0.855012975,0.001756712,0.034854091,nan,nan,0.911693758,0.912263004
large_complex,SIR,0.2,1,0,0,0.030846888,0.855012975,0.001849207,0.030856845,nan,nan,0.895784251,0.896235902
large_complex,SIR,0.3,0.1,0,0,0.059558452,0.855012975,0.65438763,0.619123101,0.786995965,nan,-0.882438929,0.161105693
large_complex,SIR,0.3,0.2,0,0,0.220360368,0.855012975,0.470900248,0.259313156,0.613585696,nan,-0.493350595,0.480554788
large_complex,SIR,0.3,0.3,0,0,0.369697154,0.855012975,0.26256964,0.13033854,0.306414256,nan,-0.172280457,0.364253488
large_complex,SIR,0.3,0.4,0,0,0.41290956,0.855012975,0.023187786,0.392367856,0.182045937,nan,0.184404689,0.208636619
large_complex,SIR,0.3,0.5,0,0,0.080942224,0.855012975,0.002854,0.080848897,0.281344702,nan,0.887503985,0.592064255
large_complex,SIR,0.3,0.6,0,0,0.090317137,0.855012975,0.002159158,0.090255976,0.582741416,nan,0.921519745,0.943013224
large_complex,SIR,0.3,0.7,0,0,0.079070726,0.855012975,0.002127997,0.079026186,nan,nan,0.905205715,0.908167968
large_complex,SIR,0.3,0.8,0,0,0.066296897,0.855012975,0.001970988,0.066264557,nan,nan,0.905647566,0.907781343
large_complex,SIR,0.3,0.9,0,0,0.057018071,0.855012975,0.001901204,0.056994631,nan,nan,0.901910758,0.903539624
large_complex,SIR,0.3,1,0,0,0.04998947,0.855012975,0.00202254,0.049979031,nan,nan,0.878907755,0.880218933
large_complex,SIR,0.4,0.1,0,0,0.049637531,0.855012975,0.654904665,0.643948212,0.743524204,nan,-0.868689126,0.172210952
large_complex,SIR,0.4,0.2,0,0,0.131558332,0.855012975,0.471186653,0.359190521,0.571228113,nan,-0.481961973,0.468962864
large_complex,SIR,0.4,0.3,0,0,0.263843299,0.855012975,0.268336217,0.083036615,0.347441149,nan,-0.206659557,0.412237363
large_complex,SIR,0.4,0.4,0,0,0.301939128,0.855012975,0.023576324,0.282460303,0.157555197,nan,0.156656847,0.186743361
large_complex,SIR,0.4,0.5,0,0,0.140451668,0.855012975,0.003372983,0.140334542,0.254972074,nan,0.872885651,0.499700899
large_complex,SIR,0.4,0.6,0,0,0.140202172,0.855012975,0.00286913,0.140117499,0.746831629,nan,0.874228309,0.911455706
large_complex,SIR,0.4,0.7,0,0,0.118031731,0.855012975,0.002678772,0.117968622,nan,nan,0.860088865,0.867852974
