Experiment,Model,beta,gamma,sigma,xi,NRMSE_S,NRMSE_E,NRMSE_I,NRMSE_R,Pearson_S,Pearson_E,Pearson_I,Pearson_R,,,
large_complex,SEIRS,0.1,0.1,0.4,0.9,0.772683706,0.006358457,0.765063352,0.008582381,-0.810586481,0.605701678,-0.80927003,-0.269230656,,,
large_complex,SEIRS,0.1,0.1,0.4,1,0.765518184,0.006456413,0.766861203,0.003480959,-0.810553427,0.590116214,-0.810577671,nan,,,
large_complex,SEIRS,0.1,0.1,0.5,0.1,0.922089236,0.004030444,0.765151799,0.159358448,-0.87936769,0.823920211,-0.881457726,-0.028752925,,,
large_complex,SEIRS,0.1,0.1,0.5,0.2,0.887686264,0.004729143,0.763685801,0.126242017,-0.861146989,0.761232754,-0.846894861,-0.31364574,,,
large_complex,SEIRS,0.1,0.1,0.5,0.3,0.861202368,0.00478941,0.763340022,0.099797473,-0.845622947,0.750850927,-0.834643557,-0.459395686,,,
large_complex,SEIRS,0.1,0.1,0.5,0.4,0.840080282,0.00499224,0.764194543,0.077530546,-0.836751277,0.714705313,-0.830445929,-0.454715186,,,
large_complex,SEIRS,0.1,0.1,0.5,0.5,0.822079934,0.004967603,0.76456523,0.058936031,-0.829207646,0.714240763,-0.828446455,-0.409951813,,,
large_complex,SEIRS,0.1,0.1,0.5,0.6,0.807828817,0.00507307,0.76572986,0.043329224,-0.815404248,0.692876508,-0.807423372,-0.422844294,,,
large_complex,SEIRS,0.1,0.1,0.5,0.7,0.794871131,0.005181077,0.765854082,0.029851689,-0.823622555,0.666815229,-0.821264034,-0.408764657,,,
large_complex,SEIRS,0.1,0.1,0.5,0.8,0.782480206,0.005174423,0.765033189,0.01835429,-0.821067494,0.669555035,-0.820740517,-0.357208156,,,
large_complex,SEIRS,0.1,0.1,0.5,0.9,0.773908564,0.00529791,0.766219104,0.008735803,-0.812854013,0.648214682,-0.812948275,-0.243589065,,,
large_complex,SEIRS,0.1,0.1,0.5,1,0.766666326,0.005123818,0.768116395,0.003542398,-0.816020104,0.675250553,-0.815684735,nan,,,
large_complex,SEIRS,0.1,0.1,0.6,0.1,0.922923813,0.003547394,0.765856275,0.159233729,-0.877617867,0.832151149,-0.885899909,0.003429395,,,
large_complex,SEIRS,0.1,0.1,0.6,0.2,0.888079755,0.00417649,0.763655856,0.126452364,-0.867184444,0.765583063,-0.85165073,-0.347700522,,,
large_complex,SEIRS,0.1,0.1,0.6,0.3,0.861587831,0.004203933,0.76334599,0.100036245,-0.851580998,0.766334698,-0.839159414,-0.471732534,,,
large_complex,SEIRS,0.1,0.1,0.6,0.4,0.840661794,0.004414252,0.764817145,0.077516118,-0.831788073,0.733902871,-0.820525257,-0.474531391,,,
large_complex,SEIRS,0.1,0.1,0.6,0.5,0.821962825,0.004388997,0.764375277,0.059006596,-0.832662163,0.731856688,-0.826925317,-0.437981632,,,
large_complex,SEIRS,0.1,0.1,0.6,0.6,0.807710333,0.004488255,0.765761297,0.043225734,-0.819096597,0.710081731,-0.813452388,-0.416007082,,,
large_complex,SEIRS,0.1,0.1,0.6,0.7,0.795135912,0.004559284,0.76638346,0.029950788,-0.829415956,0.693925401,-0.826293631,-0.395455191,,,
large_complex,SEIRS,0.1,0.1,0.6,0.8,0.784929415,0.004503056,0.767788947,0.018289119,-0.825439393,0.701337504,-0.824563157,-0.305886967,,,
large_complex,SEIRS,0.1,0.1,0.6,0.9,0.775204486,0.004566718,0.768144804,0.008534285,-0.812358449,0.688739983,-0.809339763,-0.231429996,,,
large_complex,SEIRS,0.1,0.1,0.6,1,0.766353206,0.004590494,0.768085308,0.003588086,-0.82773965,0.680561836,-0.827749286,nan,,,
large_complex,SEIRS,0.1,0.1,0.7,0.1,0.923307424,0.003243843,0.765907142,0.15951433,-0.881035385,0.832178525,-0.87399704,-0.011137133,,,
large_complex,SEIRS,0.1,0.1,0.7,0.2,0.889084935,0.00372296,0.764542328,0.126484122,-0.866642824,0.787950824,-0.852644794,-0.311678121,,,
large_complex,SEIRS,0.1,0.1,0.7,0.3,0.862297983,0.003792255,0.764360531,0.099760637,-0.850822993,0.785184944,-0.837779795,-0.480017189,,,
large_complex,SEIRS,0.1,0.1,0.7,0.4,0.840936796,0.00404445,0.765103026,0.07747795,-0.842777584,0.741787307,-0.833579454,-0.487327725,,,
large_complex,SEIRS,0.1,0.1,0.7,0.5,0.822637609,0.00399723,0.765179789,0.058984514,-0.84184146,0.744877347,-0.833558936,-0.48087764,,,
large_complex,SEIRS,0.1,0.1,0.7,0.6,0.8070198,0.00402541,0.765002415,0.043447504,-0.836266147,0.738343564,-0.829659603,-0.445599594,,,
large_complex,SEIRS,0.1,0.1,0.7,0.7,0.795181432,0.00403207,0.766531637,0.029950654,-0.826646146,0.732197264,-0.823499057,-0.390963469,,,
large_complex,SEIRS,0.1,0.1,0.7,0.8,0.784999151,0.004150087,0.768049986,0.018399098,-0.820705068,0.713352938,-0.818337499,-0.310848306,,,
large_complex,SEIRS,0.1,0.1,0.7,0.9,0.774508912,0.004185965,0.76750911,0.008652488,-0.815983602,0.699865972,-0.813225743,-0.267600756,,,
large_complex,SEIRS,0.1,0.1,0.7,1,0.767124451,0.004113078,0.769308593,0.003621727,-0.82031196,0.716262176,-0.818936929,nan,,,
large_complex,SEIRS,0.1,0.1,0.8,0.1,0.92308313,0.002989182,0.765874365,0.159180409,-0.874972533,0.837405443,-0.87956905,0.000712638,,,
