Experiment,Model,beta,gamma,sigma,xi,NRMSE_S,NRMSE_E,NRMSE_I,NRMSE_R,Pearson_S,Pearson_E,Pearson_I,Pearson_R,
large_complex,SIRS,0.1,0.4,0,0.8,0.023635979,0.855012975,0.02029783,0.00379758,0.208579189,nan,0.252423566,0.087083864,
large_complex,SIRS,0.1,0.4,0,0.9,0.033243955,0.855012975,0.030920211,0.002965593,0.120500543,nan,0.146794437,0.033017333,
large_complex,SIRS,0.1,0.4,0,1,0.024742708,0.855012975,0.024609477,0.001619161,0.198867684,nan,0.218468497,nan,
large_complex,SIRS,0.1,0.5,0,0.1,0.002611911,0.855012975,0.001554664,0.002142344,0.986242037,nan,0.959243713,0.974952414,
large_complex,SIRS,0.1,0.5,0,0.2,0.002146313,0.855012975,0.001637524,0.001386529,0.987231979,nan,0.953936274,0.973202197,
large_complex,SIRS,0.1,0.5,0,0.3,0.002786554,0.855012975,0.001365297,0.001783228,0.959882672,nan,0.968664201,0.943064498,
large_complex,SIRS,0.1,0.5,0,0.4,0.002105826,0.855012975,0.001246073,0.001159658,0.975891228,nan,0.974602224,0.963014258,
large_complex,SIRS,0.1,0.5,0,0.5,0.002645013,0.855012975,0.001317963,0.001477235,0.948775302,nan,0.97066001,0.925114681,
large_complex,SIRS,0.1,0.5,0,0.6,0.002783471,0.855012975,0.001225541,0.001584496,0.93309391,nan,0.972987875,0.922880984,
large_complex,SIRS,0.1,0.5,0,0.7,0.002944785,0.855012975,0.001369172,0.001613622,0.915571465,nan,0.966428694,0.832884132,
large_complex,SIRS,0.1,0.5,0,0.8,0.003108833,0.855012975,0.001509626,0.001604527,0.899431384,nan,0.959071446,0.891201769,
large_complex,SIRS,0.1,0.5,0,0.9,0.003006574,0.855012975,0.001378362,0.00163176,0.900023938,nan,0.966426818,0.766447008,
large_complex,SIRS,0.1,0.5,0,1,0.003160571,0.855012975,0.001487416,0.001681541,0.881999589,nan,0.960763797,nan,
large_complex,SIRS,0.1,0.6,0,0.1,0.003034956,0.855012975,0.001452475,0.002666121,0.982561322,nan,0.956332143,0.966784355,
large_complex,SIRS,0.1,0.6,0,0.2,0.002255691,0.855012975,0.001425811,0.001757574,0.983618434,nan,0.958894276,0.962216398,
large_complex,SIRS,0.1,0.6,0,0.3,0.002180109,0.855012975,0.001283982,0.001416011,0.975495614,nan,0.966849701,0.957939341,
large_complex,SIRS,0.1,0.6,0,0.4,0.00282105,0.855012975,0.001330693,0.001704064,0.941541413,nan,0.963042206,0.937131541,
large_complex,SIRS,0.1,0.6,0,0.5,0.002905891,0.855012975,0.001330149,0.001731556,0.923494488,nan,0.962561667,0.895153913,
large_complex,SIRS,0.1,0.6,0,0.6,0.002976155,0.855012975,0.001433674,0.00162129,0.908574153,nan,0.9552144,0.896728004,
large_complex,SIRS,0.1,0.6,0,0.7,0.002897796,0.855012975,0.001325818,0.001623555,0.907842702,nan,0.963222266,0.891205023,
large_complex,SIRS,0.1,0.6,0,0.8,0.002757093,0.855012975,0.001132122,0.001630586,0.911761791,nan,0.973604639,0.938716448,
large_complex,SIRS,0.1,0.6,0,0.9,0.00298749,0.855012975,0.00130038,0.001692924,0.883074112,nan,0.964927851,0.738906422,
large_complex,SIRS,0.1,0.6,0,1,0.003199686,0.855012975,0.001465567,0.001735733,0.852737462,nan,0.954100622,nan,
large_complex,SIRS,0.1,0.7,0,0.1,0.001793593,0.855012975,0.001372008,0.001627274,0.995488058,nan,0.955248085,0.985190455,
large_complex,SIRS,0.1,0.7,0,0.2,0.002556662,0.855012975,0.001253425,0.001880997,0.976281135,nan,0.962606686,0.969276455,
large_complex,SIRS,0.1,0.7,0,0.3,0.002693127,0.855012975,0.00133955,0.001898562,0.953795663,nan,0.956884552,0.92651088,
large_complex,SIRS,0.1,0.7,0,0.4,0.002505308,0.855012975,0.001371045,0.001593642,0.95001069,nan,0.954262541,0.918312595,
large_complex,SIRS,0.1,0.7,0,0.5,0.002285319,0.855012975,0.00118327,0.001342748,0.958038544,nan,0.967320446,0.959822798,
large_complex,SIRS,0.1,0.7,0,0.6,0.002570783,0.855012975,0.00117479,0.00151022,0.931332239,nan,0.967726734,0.93807202,
large_complex,SIRS,0.1,0.7,0,0.7,0.00285102,0.855012975,0.001306079,0.001635524,0.898532894,nan,0.959385907,0.872427513,
large_complex,SIRS,0.1,0.7,0,0.8,0.002893971,0.855012975,0.001199599,0.001716615,0.883170784,nan,0.965941647,0.795594166,
large_complex,SIRS,0.1,0.7,0,0.9,0.002972732,0.855012975,0.001208621,0.001771676,0.869403074,nan,0.96570467,0.927565885,
large_complex,SIRS,0.1,0.7,0,1,0.003246129,0.855012975,0.001470404,0.001781469,0.825110015,nan,0.947361005,nan,
large_complex,SIRS,0.1,0.8,0,0.1,0.001489856,0.855012975,0.001265054,0.001301022,0.997239654,nan,0.957373342,0.990465775,
