Experiment,Model,beta,gamma,sigma,xi,NRMSE_S,NRMSE_E,NRMSE_I,NRMSE_R,Pearson_S,Pearson_E,Pearson_I,Pearson_R
large_complex,SI,0.1,0,0,0,0.009545736,0.855012975,0.009545736,0.855012975,0.983769371,nan,0.983769371,nan
large_complex,SI,0.2,0,0,0,0.018366768,0.855012975,0.018366768,0.855012975,0.955441745,nan,0.955441745,nan
large_complex,SI,0.3,0,0,0,0.022766725,0.855012975,0.022766725,0.855012975,0.902105976,nan,0.902105976,nan
large_complex,SI,0.4,0,0,0,0.026754161,0.855012975,0.026754161,0.855012975,0.833966225,nan,0.833966225,nan
large_complex,SI,0.5,0,0,0,0.026725196,0.855012975,0.026725196,0.855012975,0.800078634,nan,0.800078634,nan
large_complex,SI,0.6,0,0,0,0.025672747,0.855012975,0.025672747,0.855012975,0.786526278,nan,0.786526278,nan
large_complex,SI,0.7,0,0,0,0.026107817,0.855012975,0.026107817,0.855012975,0.757120679,nan,0.757120679,nan
large_complex,SI,0.8,0,0,0,0.024595525,0.855012975,0.024595525,0.855012975,0.761726761,nan,0.761726761,nan
large_complex,SI,0.9,0,0,0,0.025861137,0.855012975,0.025861137,0.855012975,0.718404243,nan,0.718404243,nan
large_complex,SI,1,0,0,0,0.026584008,0.855012975,0.026584008,0.855012975,0.691489107,nan,0.691489107,nan
