Experiment,Model,beta,gamma,sigma,xi,NRMSE_S,NRMSE_E,NRMSE_I,NRMSE_R,Pearson_S,Pearson_E,Pearson_I,Pearson_R
large_complex,SEIR,0.1,0.1,0.1,0,0.344935228,0.007770356,0.773776297,0.429310048,0.972643104,0.915226577,-0.887459396,-0.189004093
large_complex,SEIR,0.1,0.1,0.2,0,0.344002287,0.00458114,0.772709026,0.429185471,0.973534528,0.93961582,-0.88775344,-0.143715928
large_complex,SEIR,0.1,0.1,0.3,0,0.344164511,0.003300968,0.772851569,0.429195751,0.972764467,0.918483725,-0.895425006,-0.104926524
large_complex,SEIR,0.1,0.1,0.4,0,0.344218615,0.002572709,0.773897415,0.430153815,0.973591535,0.890954443,-0.899185218,-0.105389629
large_complex,SEIR,0.1,0.1,0.5,0,0.343827899,0.002217296,0.773076347,0.429694301,0.96299437,0.703333441,-0.881684938,-0.087847092
large_complex,SEIR,0.1,0.1,0.6,0,0.343995952,0.00193649,0.773607903,0.430026134,0.962783889,0.542676877,-0.894719289,-0.048799698
large_complex,SEIR,0.1,0.1,0.7,0,0.344189955,0.001635777,0.774167745,0.430458631,0.967910272,0.776070249,-0.897496264,-0.054191376
large_complex,SEIR,0.1,0.1,0.8,0,0.344213129,0.001491443,0.77305021,0.429308714,0.969188074,0.61615957,-0.901377898,-0.057594988
large_complex,SEIR,0.1,0.1,0.9,0,0.343953715,0.00136311,0.773203682,0.429706404,0.963266879,0.366171096,-0.880587573,-0.071489269
large_complex,SEIR,0.1,0.1,1,0,0.344112733,0.00125195,0.773458939,0.429841758,0.966277088,nan,-0.887845588,-0.058953403
large_complex,SEIR,0.1,0.2,0.1,0,0.517896255,0.004605001,0.546029226,0.049425216,0.774718583,0.769281413,-0.39972617,0.426218472
large_complex,SEIR,0.1,0.2,0.2,0,0.51768257,0.002909967,0.547604715,0.050738999,0.714492958,0.461323128,-0.387143314,0.434565332
large_complex,SEIR,0.1,0.2,0.3,0,0.518274083,0.001958967,0.547956152,0.051157186,0.708629669,0.87576859,-0.386485557,0.423253908
large_complex,SEIR,0.1,0.2,0.4,0,0.517986593,0.001641347,0.546893921,0.047182573,0.681588395,0.664200213,-0.391483372,0.465431598
large_complex,SEIR,0.1,0.2,0.5,0,0.517326454,0.001345952,0.545558372,0.049068429,0.650442343,0.777237521,-0.367118547,0.441226875
large_complex,SEIR,0.1,0.2,0.6,0,0.517084453,0.001214513,0.545172127,0.050599451,0.638359373,0.467212335,-0.359878518,0.418154423
large_complex,SEIR,0.1,0.2,0.7,0,0.517710202,0.001058308,0.545574029,0.049925599,0.642718793,0.506888089,-0.366429156,0.439627367
large_complex,SEIR,0.1,0.2,0.8,0,0.517478814,0.000964229,0.54627133,0.050621005,0.641606377,0.094661327,-0.361144009,0.425803233
large_complex,SEIR,0.1,0.2,0.9,0,0.517473525,0.000864173,0.545246587,0.050368259,0.633576054,0.28852096,-0.360647843,0.432607893
large_complex,SEIR,0.1,0.2,1,0,0.51613899,0.000789028,0.544404643,0.050356995,0.594875086,nan,-0.345994029,0.415053307
large_complex,SEIR,0.1,0.3,0.1,0,0.558507321,0.003234705,0.309031339,0.260947578,0.477673233,0.6338611,-0.104578369,0.55735125
large_complex,SEIR,0.1,0.3,0.2,0,0.560257458,0.001941458,0.313713443,0.256892894,0.414003262,0.874264233,-0.115304279,0.500687597
large_complex,SEIR,0.1,0.3,0.3,0,0.560619214,0.0015426,0.311255354,0.259165447,0.390712253,0.494901406,-0.113302717,0.48228476
large_complex,SEIR,0.1,0.3,0.4,0,0.560865655,0.001187171,0.31197564,0.259706362,0.391850062,0.732415601,-0.10791068,0.477564518
large_complex,SEIR,0.1,0.3,0.5,0,0.55789434,0.000985222,0.310620566,0.257372383,0.353331845,0.81328027,-0.103652845,0.464481472
large_complex,SEIR,0.1,0.3,0.6,0,0.560327556,0.00088811,0.312780132,0.256772958,0.370408886,0.574899191,-0.112458152,0.479336398
large_complex,SEIR,0.1,0.3,0.7,0,0.560336304,0.000792617,0.310836414,0.258847914,0.377734771,0.515440553,-0.109374916,0.490010341
large_complex,SEIR,0.1,0.3,0.8,0,0.558342821,0.000717996,0.309669448,0.259501437,0.356877226,0.47071256,-0.100077722,0.462815075
