Experiment,Model,beta,gamma,sigma,xi,NRMSE_S,NRMSE_E,NRMSE_I,NRMSE_R,Pearson_S,Pearson_E,Pearson_I,Pearson_R,RSquared_S,RSquared_E,RSquared_I,RSquared_R,Error
large_simple,SIS,0.1,0.1,0.0,0.0,0.03355149180074361,0.8550129752984276,0.033551491800743585,0.8550129752984276,0.6982332358812414,nan,0.6982332358812413,nan,-2.635918686837854,-inf,-2.6359186868378486,-inf,False
large_simple,SIS,0.1,0.2,0.0,0.0,0.00586278862694066,0.8550129752984276,0.005862788626940667,0.8550129752984276,0.9506593935433124,nan,0.9506593935433129,nan,0.796523335916008,-inf,0.7965233359160072,-inf,False
large_simple,SIS,0.1,0.3,0.0,0.0,0.004162049119300803,0.8550129752984276,0.004162049119300815,0.8550129752984276,0.9562985694805796,nan,0.9562985694805788,nan,0.8419023120381909,-inf,0.8419023120381901,-inf,False
large_simple,SIS,0.1,0.4,0.0,0.0,0.0031608827852692267,0.8550129752984276,0.0031608827852692353,0.8550129752984276,0.9658113716834196,nan,0.9658113716834205,nan,0.8875936518921814,-inf,0.8875936518921808,-inf,False
large_simple,SIS,0.1,0.5,0.0,0.0,0.0028818954671349754,0.8550129752984276,0.002881895467134972,0.8550129752984276,0.9647923004817314,nan,0.9647923004817321,nan,0.8890590074739806,-inf,0.8890590074739809,-inf,False
large_simple,SIS,0.1,0.6,0.0,0.0,0.0030866534754093898,0.8550129752984276,0.00308665347540939,0.8550129752984276,0.9511312551583868,nan,0.951131255158386,nan,0.8517401648758862,-inf,0.8517401648758861,-inf,False
large_simple,SIS,0.1,0.7,0.0,0.0,0.0030066840150776253,0.8550129752984276,0.0030066840150776235,0.8550129752984276,0.9462086809377411,nan,0.9462086809377412,nan,0.852374020027522,-inf,0.8523740200275223,-inf,False
large_simple,SIS,0.1,0.8,0.0,0.0,0.002986835884313449,0.8550129752984276,0.0029868358843134508,0.8550129752984276,0.9414933707066448,nan,0.9414933707066457,nan,0.8470976838253986,-inf,0.8470976838253984,-inf,False
large_simple,SIS,0.1,0.9,0.0,0.0,0.0033306538657781625,0.8550129752984276,0.003330653865778164,0.8550129752984276,0.9199464635170376,nan,0.919946463517039,nan,0.8022703842456207,-inf,0.8022703842456206,-inf,False
large_simple,SIS,0.1,1.0,0.0,0.0,0.0035335130774523248,0.8550129752984276,0.0035335130774523235,0.8550129752984276,0.9035992426953549,nan,0.9035992426953537,nan,0.7751447083207017,-inf,0.7751447083207017,-inf,False
large_simple,SIS,0.2,0.1,0.0,0.0,0.49715898416824866,0.8550129752984276,0.49715898416824866,0.8550129752984276,-0.9990268414796105,nan,-0.9990268414796096,nan,-570.2322464177139,-inf,-570.2322464177137,-inf,False
large_simple,SIS,0.2,0.2,0.0,0.0,0.024167602965029785,0.8550129752984276,0.024167602965029785,0.8550129752984276,0.6656340099259445,nan,0.6656340099259448,nan,-2.651482027290092,-inf,-2.651482027290093,-inf,False
large_simple,SIS,0.2,0.3,0.0,0.0,0.007413441639343931,0.8550129752984276,0.007413441639343915,0.8550129752984276,0.9005030159597464,nan,0.9005030159597469,nan,0.5231636315160126,-inf,0.523163631516015,-inf,False
large_simple,SIS,0.2,0.4,0.0,0.0,0.005224836593816011,0.8550129752984276,0.005224836593816019,0.8550129752984276,0.9215973191202452,nan,0.9215973191202458,nan,0.6830176294978898,-inf,0.6830176294978892,-inf,False
large_simple,SIS,0.2,0.5,0.0,0.0,0.004198588178585663,0.8550129752984276,0.004198588178585665,0.8550129752984276,0.9334181996424228,nan,0.933418199642422,nan,0.7577720224636023,-inf,0.7577720224636019,-inf,False
large_simple,SIS,0.2,0.6,0.0,0.0,0.003328128035659013,0.8550129752984276,0.0033281280356590183,0.8550129752984276,0.9502620398044108,nan,0.9502620398044119,nan,0.8373627898552359,-inf,0.8373627898552353,-inf,False
large_simple,SIS,0.2,0.7,0.0,0.0,0.003387720406067343,0.8550129752984276,0.0033877204060673467,0.8550129752984276,0.9370839884693787,nan,0.9370839884693785,nan,0.81463346037942,-inf,0.8146334603794194,-inf,False
large_simple,SIS,0.2,0.8,0.0,0.0,0.0035994825833758934,0.8550129752984276,0.0035994825833758973,0.8550129752984276,0.9182194650275848,nan,0.9182194650275838,nan,0.7759892114696643,-inf,0.7759892114696638,-inf,False
large_simple,SIS,0.2,0.9,0.0,0.0,0.003806793014073301,0.8550129752984276,0.003806793014073295,0.8550129752984276,0.8986613763783067,nan,0.8986613763783065,nan,0.7409713769000007,-inf,0.7409713769000015,-inf,False
large_simple,SIS,0.2,1.0,0.0,0.0,0.003918657461272474,0.8550129752984276,0.003918657461272475,0.8550129752984276,0.8851228984372194,nan,0.8851228984372185,nan,0.7234559545991657,-inf,0.7234559545991655,-inf,False
large_simple,SIS,0.3,0.1,0.0,0.0,0.6630255275775515,0.8550129752984276,0.6630255275775516,0.8550129752984276,-0.895857045257451,nan,-0.8958570452574511,nan,-652.7284617038596,-inf,-652.7284617038601,-inf,False
large_simple,SIS,0.3,0.2,0.0,0.0,0.332590768369162,0.8550129752984276,0.332590768369162,0.8550129752984276,nan,nan,nan,nan,-560.4447039350124,-inf,-560.4447039350125,-inf,False
large_simple,SIS,0.3,0.3,0.0,0.0,0.019200607382938138,0.8550129752984276,0.019200607382938103,0.8550129752984276,0.6839097165334663,nan,0.6839097165334674,nan,-1.666609755403262,-inf,-1.6666097554032504,-inf,False
