Experiment,Model,beta,gamma,sigma,xi,NRMSE_S,NRMSE_E,NRMSE_I,NRMSE_R,Pearson_S,Pearson_E,Pearson_I,Pearson_R,RSquared_S,RSquared_E,RSquared_I,RSquared_R,Error
large_simple,SIRS,0.1,0.1,0.0,0.1,0.03869198471037322,0.8550129752984276,0.019942653336947266,0.019259727219234194,0.8023603637700938,nan,0.833000371101776,0.7770239915452685,-0.9587347211781634,-inf,-0.21128236073446738,-1.6118422740370382,False
large_simple,SIRS,0.1,0.1,0.0,0.2,0.03566898778203286,0.8550129752984276,0.023372559332728342,0.01234103562870527,0.77844225662726,nan,0.8062670714995718,0.7439163387963371,-1.2183057022051522,-inf,-0.5749840773393335,-2.9207570860610255,False
large_simple,SIRS,0.1,0.1,0.0,0.3,0.03515709449800073,0.8550129752984276,0.025939553539392594,0.009234257730941635,0.7529799013868287,nan,0.7730700864046179,0.7216985467493752,-1.715853191567672,-inf,-1.0730097419880607,-4.883406204569079,False
large_simple,SIRS,0.1,0.1,0.0,0.4,0.03533138888340682,0.8550129752984276,0.027773337192433828,0.007584792301418015,0.7225613354871114,nan,0.743148432935007,0.6545308545481623,-2.250577212720111,-inf,-1.5567404744880817,-7.7807221793692065,False
large_simple,SIRS,0.1,0.1,0.0,0.5,0.03450298287950511,0.8550129752984276,0.028302241711529712,0.006267861766866127,0.73018263095621,nan,0.7423734291537936,0.7081072922301512,-2.2102127667831164,-inf,-1.5453066967802958,-12.10568586035575,False
large_simple,SIRS,0.1,0.1,0.0,0.6,0.033535616420538567,0.8550129752984276,0.02826307388805542,0.0054298982057236185,0.7386029052425798,nan,0.7486378360875425,0.698902907120854,-1.8083472719958986,-inf,-1.2315118628185142,-18.18202404488024,False
large_simple,SIRS,0.1,0.1,0.0,0.7,0.03334086956232532,0.8550129752984276,0.028593987603195797,0.004951275985898016,0.7377071122488579,nan,0.7489147607252796,0.6262940117053641,-1.9326579286961998,-inf,-1.3033304116676634,-44.63837841808413,False
large_simple,SIRS,0.1,0.1,0.0,0.8,0.033405246092054725,0.8550129752984276,0.029183662301065925,0.0044304098866459135,0.7301598999047353,nan,0.7385861948647695,0.6405283868833378,-2.112920358006873,-inf,-1.4797080672999021,-72.7929949756553,False
large_simple,SIRS,0.1,0.1,0.0,0.9,0.03314185260813558,0.8550129752984276,0.02931693228780685,0.004100701756966697,0.7256894407627927,nan,0.7339269399506094,0.5880817559294035,-1.9126101233047725,-inf,-1.3236896381838021,-301.6208223923949,False
large_simple,SIRS,0.1,0.1,0.0,1.0,0.033712132208139525,0.8550129752984276,0.030140156920336943,0.0038253776531898378,0.712899427167795,nan,0.7209015045042783,nan,-2.5470059691621163,-inf,-1.8351790731100146,-inf,False
large_simple,SIRS,0.1,0.2,0.0,0.1,0.009497999361048812,0.8550129752984276,0.004219962757752341,0.005863211659129083,0.9783765551351935,nan,0.9730596126880884,0.9829584645003161,0.8259727554683617,-inf,0.8969115550084957,0.8032518618531653,False
large_simple,SIRS,0.1,0.2,0.0,0.2,0.00975544087602037,0.8550129752984276,0.004460176376806379,0.005498040629210735,0.9474795577908064,nan,0.9695798796595588,0.9357730260097079,0.704886475824928,-inf,0.8812518023215494,0.2899632705048285,False
large_simple,SIRS,0.1,0.2,0.0,0.3,0.007483249472369123,0.8550129752984276,0.0036409772775722886,0.0038778691974573347,0.9633650290580797,nan,0.9794775843634681,0.9533895176521318,0.8119032921361816,-inf,0.9282081539868555,0.3029761597994882,False
large_simple,SIRS,0.1,0.2,0.0,0.4,0.008757750544579428,0.8550129752984276,0.00542546098506775,0.0033782967971587546,0.935377278534891,nan,0.9525598459343227,0.911416028719213,0.6704687081152091,-inf,0.8106032880308176,0.1255256780172087,False
large_simple,SIRS,0.1,0.2,0.0,0.5,0.008493680224367256,0.8550129752984276,0.0051103986900804255,0.0034070854075142387,0.9376605130190707,nan,0.9596216154485003,0.9036889040349003,0.6469022970296443,-inf,0.8359800556468481,-1.5399948866681075,False
large_simple,SIRS,0.1,0.2,0.0,0.6,0.007358863604691905,0.8550129752984276,0.004397000513280233,0.0030766984294650778,0.9559425666611897,nan,0.9710534013586978,0.9499545483518804,0.732974798948178,-inf,0.8872384852206358,-3.3879100334684846,False
large_simple,SIRS,0.1,0.2,0.0,0.7,0.008647820271456849,0.8550129752984276,0.005711215820207036,0.0030013329340394315,0.9269702337059632,nan,0.9492143583944997,0.8843869036168611,0.5605218282557212,-inf,0.7820136491418859,-7.55864024352049,False
large_simple,SIRS,0.1,0.2,0.0,0.8,0.0074242865714973984,0.8550129752984276,0.004637263673414054,0.0029905275589521747,0.9499359490225521,nan,0.9670497265536288,0.9325080831448155,0.6936227624069233,-inf,0.8734863701933032,-37.669234602256665,False
large_simple,SIRS,0.1,0.2,0.0,0.9,0.00788946893884801,0.8550129752984276,0.005224732368676792,0.0028920169657885952,0.9368906075431557,nan,0.9564052166337862,0.8099877582457522,0.6293376991123604,-inf,0.8321679766071856,-124.89187277535174,False
large_simple,SIRS,0.1,0.2,0.0,1.0,0.008172577140637112,0.8550129752984276,0.0056466229241759315,0.002810024742732363,0.9265706110554924,nan,0.9465587672137903,nan,0.5820879119913489,-inf,0.8004992880018742,-inf,False
large_simple,SIRS,0.1,0.3,0.0,0.1,0.007124104752320947,0.8550129752984276,0.0031255432645320986,0.005282435286332246,0.9814246355044467,nan,0.9760688141986206,0.9736410438905604,0.8778818258078516,-inf,0.9133908460567651,0.8496265011145842,False
