Experiment,Model,beta,gamma,sigma,xi,NRMSE_S,NRMSE_E,NRMSE_I,NRMSE_R,Pearson_S,Pearson_E,Pearson_I,Pearson_R,RSquared_S,RSquared_E,RSquared_I,RSquared_R,Error
large_simple,SIS,0.1,0.1,0.0,0.0,0.023278253870226428,0.8550129752984276,0.023278253870226372,0.8550129752984276,0.5967048513069568,nan,0.596704851306956,nan,-5.672990443109884,-inf,-5.672990443109848,-inf,False
large_simple,SIS,0.1,0.2,0.0,0.0,0.0031359004537028293,0.8550129752984276,0.0031359004537028345,0.8550129752984276,0.9570805699027144,nan,0.9570805699027165,nan,0.7553099973816096,-inf,0.7553099973816092,-inf,False
large_simple,SIS,0.1,0.3,0.0,0.0,0.0021941591828618457,0.8550129752984276,0.002194159182861854,0.8550129752984276,0.9549489953203197,nan,0.9549489953203196,nan,0.8223184407095221,-inf,0.8223184407095211,-inf,False
large_simple,SIS,0.1,0.4,0.0,0.0,0.0017955374406586253,0.8550129752984276,0.0017955374406586249,0.8550129752984276,0.9569661186757561,nan,0.9569661186757566,nan,0.848976403546331,-inf,0.848976403546331,-inf,False
large_simple,SIS,0.1,0.5,0.0,0.0,0.0017209461959880573,0.8550129752984276,0.001720946195988056,0.8550129752984276,0.9496866820997253,nan,0.9496866820997273,nan,0.8316111232758743,-inf,0.8316111232758745,-inf,False
large_simple,SIS,0.1,0.6,0.0,0.0,0.0012499642699254716,0.8550129752984276,0.0012499642699254695,0.8550129752984276,0.9701594659916547,nan,0.9701594659916531,nan,0.9088886579429449,-inf,0.9088886579429452,-inf,False
large_simple,SIS,0.1,0.7,0.0,0.0,0.0014764059135662843,0.8550129752984276,0.001476405913566285,0.8550129752984276,0.9494323960283162,nan,0.9494323960283163,nan,0.8571768652266083,-inf,0.857176865226608,-inf,False
large_simple,SIS,0.1,0.8,0.0,0.0,0.0014947102618804943,0.8550129752984276,0.001494710261880492,0.8550129752984276,0.9418018202589068,nan,0.9418018202589087,nan,0.8481893190117861,-inf,0.8481893190117866,-inf,False
large_simple,SIS,0.1,0.9,0.0,0.0,0.001644654693199331,0.8550129752984276,0.001644654693199331,0.8550129752984276,0.922726690819292,nan,0.9227266908192924,nan,0.8077092916640811,-inf,0.8077092916640811,-inf,False
large_simple,SIS,0.1,1.0,0.0,0.0,0.001808943776643571,0.8550129752984276,0.0018089437766435708,0.8550129752984276,0.8996174269907421,nan,0.8996174269907417,nan,0.7642781528082777,-inf,0.7642781528082777,-inf,False
large_simple,SIS,0.2,0.1,0.0,0.0,0.41409813412764934,0.8550129752984276,0.41409813412764945,0.8550129752984276,-0.9898858353060465,nan,-0.9898858353060455,nan,-1787.415894286843,-inf,-1787.4158942868437,-inf,False
large_simple,SIS,0.2,0.2,0.0,0.0,0.01690121100304101,0.8550129752984276,0.016901211003041046,0.8550129752984276,0.5603019544605466,nan,0.5603019544605464,nan,-6.3346770207199645,-inf,-6.334677020719997,-inf,False
large_simple,SIS,0.2,0.3,0.0,0.0,0.004409179284152092,0.8550129752984276,0.004409179284152095,0.8550129752984276,0.864705392975699,nan,0.864705392975698,nan,0.3514477971178588,-inf,0.3514477971178589,-inf,False
large_simple,SIS,0.2,0.4,0.0,0.0,0.00320304512207264,0.8550129752984276,0.0032030451220726452,0.8550129752984276,0.8789526683114306,nan,0.8789526683114306,nan,0.5103295132401753,-inf,0.5103295132401735,-inf,False
large_simple,SIS,0.2,0.5,0.0,0.0,0.0022530238371610547,0.8550129752984276,0.002253023837161045,0.8550129752984276,0.92369556155432,nan,0.9236955615543208,nan,0.7306278678575442,-inf,0.7306278678575464,-inf,False
large_simple,SIS,0.2,0.6,0.0,0.0,0.002096313964178087,0.8550129752984276,0.002096313964178091,0.8550129752984276,0.9173698627810444,nan,0.9173698627810434,nan,0.7287118026226629,-inf,0.728711802622662,-inf,False
large_simple,SIS,0.2,0.7,0.0,0.0,0.0018039230761894137,0.8550129752984276,0.0018039230761894129,0.8550129752984276,0.9296316834538826,nan,0.9296316834538785,nan,0.7887043830209184,-inf,0.7887043830209186,-inf,False
large_simple,SIS,0.2,0.8,0.0,0.0,0.0019039901760968597,0.8550129752984276,0.0019039901760968606,0.8550129752984276,0.9090103126865756,nan,0.9090103126865757,nan,0.7479410616350787,-inf,0.7479410616350781,-inf,False
large_simple,SIS,0.2,0.9,0.0,0.0,0.0019868371995534644,0.8550129752984276,0.0019868371995534675,0.8550129752984276,0.8902589601114368,nan,0.8902589601114352,nan,0.7174263090612669,-inf,0.7174263090612664,-inf,False
large_simple,SIS,0.2,1.0,0.0,0.0,0.0020058410087715334,0.8550129752984276,0.002005841008771534,0.8550129752984276,0.8805524823429242,nan,0.8805524823429237,nan,0.7101704182313204,-inf,0.7101704182313202,-inf,False
large_simple,SIS,0.3,0.1,0.0,0.0,0.5533814388236951,0.8550129752984276,0.5533814388236946,0.8550129752984276,-0.9924775388672432,nan,-0.9924775388672433,nan,-3520.4067420696692,-inf,-3520.406742069665,-inf,False
large_simple,SIS,0.3,0.2,0.0,0.0,0.27655541031614933,0.8550129752984276,0.27655541031614944,0.8550129752984276,-0.8479202623158005,nan,-0.8479202623157996,nan,-1661.298145694463,-inf,-1661.2981456944626,-inf,False
large_simple,SIS,0.3,0.3,0.0,0.0,0.013781621421947155,0.8550129752984276,0.013781621421947115,0.8550129752984276,0.557446949724638,nan,0.5574469497246383,nan,-5.498375643076219,-inf,-5.498375643076195,-inf,False
large_simple,SIS,0.3,0.4,0.0,0.0,0.004923988753527325,0.8550129752984276,0.004923988753527323,0.8550129752984276,0.8039005491431852,nan,0.8039005491431849,nan,-0.10554428126125459,-inf,-0.10554428126125215,-inf,False
large_simple,SIS,0.3,0.5,0.0,0.0,0.0029690250651401486,0.8550129752984276,0.0029690250651401447,0.8550129752984276,0.8955961373574087,nan,0.8955961373574095,nan,0.5631364856266006,-inf,0.5631364856266017,-inf,False
large_simple,SIS,0.3,0.6,0.0,0.0,0.002655993160325757,0.8550129752984276,0.0026559931603257598,0.8550129752984276,0.8843936847666348,nan,0.8843936847666354,nan,0.5700804788810063,-inf,0.5700804788810054,-inf,False
large_simple,SIS,0.3,0.7,0.0,0.0,0.002091123631072551,0.8550129752984276,0.0020911236310725504,0.8550129752984276,0.9153134089527266,nan,0.9153134089527256,nan,0.7274606810150424,-inf,0.7274606810150422,-inf,False
large_simple,SIS,0.3,0.8,0.0,0.0,0.002213006794383746,0.8550129752984276,0.002213006794383742,0.8550129752984276,0.8849798880290073,nan,0.8849798880290052,nan,0.661695168817702,-inf,0.6616951688177033,-inf,False
large_simple,SIS,0.3,0.9,0.0,0.0,0.0022263561267816213,0.8550129752984276,0.00222635612678162,0.8550129752984276,0.8689996086276179,nan,0.8689996086276166,nan,0.6454646190344675,-inf,0.6454646190344682,-inf,False
large_simple,SIS,0.3,1.0,0.0,0.0,0.002216561248117393,0.8550129752984276,0.002216561248117395,0.8550129752984276,0.859465337568401,nan,0.859465337568403,nan,0.6460766871443882,-inf,0.6460766871443876,-inf,False
large_simple,SIS,0.4,0.1,0.0,0.0,0.6227936059542891,0.8550129752984276,0.6227936059542888,0.8550129752984276,-0.8781940957362258,nan,-0.8781940957362251,nan,-3140.177235496881,-inf,-3140.177235496877,-inf,False
large_simple,SIS,0.4,0.2,0.0,0.0,0.41523429491521635,0.8550129752984276,0.41523429491521635,0.8550129752984276,-0.9769941303468057,nan,-0.9769941303468059,nan,-3896.992300586572,-inf,-3896.992300586574,-inf,False
large_simple,SIS,0.4,0.3,0.0,0.0,0.20769873985112564,0.8550129752984276,0.20769873985112566,0.8550129752984276,-0.7948732044916762,nan,-0.7948732044916751,nan,-1403.9645417614083,-inf,-1403.9645417614104,-inf,False
large_simple,SIS,0.4,0.4,0.0,0.0,0.012065215725913627,0.8550129752984276,0.012065215725913623,0.8550129752984276,0.5321842560241499,nan,0.5321842560241505,nan,-5.143087973223562,-inf,-5.143087973223559,-inf,False
large_simple,SIS,0.4,0.5,0.0,0.0,0.004933285044156807,0.8550129752984276,0.004933285044156809,0.8550129752984276,0.7794835763167198,nan,0.7794835763167183,nan,-0.24589423977246883,-inf,-0.24589423977246927,-inf,False
large_simple,SIS,0.4,0.6,0.0,0.0,0.003533667695426832,0.8550129752984276,0.0035336676954268315,0.8550129752984276,0.8278081537763565,nan,0.8278081537763561,nan,0.270258062919728,-inf,0.27025806291972876,-inf,False
large_simple,SIS,0.4,0.7,0.0,0.0,0.0029740226161739493,0.8550129752984276,0.0029740226161739554,0.8550129752984276,0.8406761203070369,nan,0.840676120307037,nan,0.42017085329850534,-inf,0.4201708532985039,-inf,False
large_simple,SIS,0.4,0.8,0.0,0.0,0.0026704224531206248,0.8550129752984276,0.002670422453120626,0.8550129752984276,0.845956842576727,nan,0.8459568425767285,nan,0.5040634877921976,-inf,0.504063487792197,-inf,False
large_simple,SIS,0.4,0.9,0.0,0.0,0.0023892957340641147,0.8550129752984276,0.0023892957340641125,0.8550129752984276,0.8603499254472567,nan,0.8603499254472569,nan,0.5963991382838716,-inf,0.596399138283872,-inf,False
large_simple,SIS,0.4,1.0,0.0,0.0,0.0024631151857050235,0.8550129752984276,0.002463115185705023,0.8550129752984276,0.8342511958232114,nan,0.8342511958232118,nan,0.5629620589298471,-inf,0.5629620589298471,-inf,False
large_simple,SIS,0.5,0.1,0.0,0.0,0.6646475131440551,0.8550129752984276,0.664647513144055,0.8550129752984276,-0.8150845685274973,nan,-0.815084568527496,nan,-3456.2360563900443,-inf,-3456.2360563900434,-inf,False
large_simple,SIS,0.5,0.2,0.0,0.0,0.4986900181780269,0.8550129752984276,0.4986900181780267,0.8550129752984276,-0.9852754435401773,nan,-0.9852754435401764,nan,-6410.916663414471,-inf,-6410.916663414474,-inf,False
large_simple,SIS,0.5,0.3,0.0,0.0,0.33230250174900205,0.8550129752984276,0.332302501749002,0.8550129752984276,-0.8565546194462578,nan,-0.8565546194462584,nan,-3919.005524419273,-inf,-3919.0055244192677,-inf,False
large_simple,SIS,0.5,0.4,0.0,0.0,0.16651137374285843,0.8550129752984276,0.16651137374285843,0.8550129752984276,nan,nan,nan,nan,-1222.8712410920605,-inf,-1222.87124109206,-inf,False
large_simple,SIS,0.5,0.5,0.0,0.0,0.010951046742372197,0.8550129752984276,0.010951046742372125,0.8550129752984276,0.5040847784775365,nan,0.5040847784775353,nan,-5.132407358261178,-inf,-5.132407358261095,-inf,False
large_simple,SIS,0.5,0.6,0.0,0.0,0.005094852393666753,0.8550129752984276,0.005094852393666758,0.8550129752984276,0.7314271581979741,nan,0.7314271581979757,nan,-0.5119702078511386,-inf,-0.5119702078511419,-inf,False
large_simple,SIS,0.5,0.7,0.0,0.0,0.0037649060973585515,0.8550129752984276,0.0037649060973585532,0.8550129752984276,0.7862177825737033,nan,0.7862177825737015,nan,0.09737038706699652,-inf,0.09737038706699541,-inf,False
large_simple,SIS,0.5,0.8,0.0,0.0,0.00316345814638155,0.8550129752984276,0.0031634581463815563,0.8550129752984276,0.8084395683819889,nan,0.8084395683819883,nan,0.3109941831700539,-inf,0.3109941831700511,-inf,False
large_simple,SIS,0.5,0.9,0.0,0.0,0.002879771717030876,0.8550129752984276,0.002879771717030878,0.8550129752984276,0.8113011887199144,nan,0.8113011887199153,nan,0.4093526737499703,-inf,0.4093526737499693,-inf,False
large_simple,SIS,0.5,1.0,0.0,0.0,0.0027546236889734376,0.8550129752984276,0.0027546236889734346,0.8550129752984276,0.8041715831852398,nan,0.8041715831852404,nan,0.45339417700307527,-inf,0.45339417700307627,-inf,False
large_simple,SIS,0.6,0.1,0.0,0.0,0.6916041899217101,0.8550129752984276,0.6916041899217099,0.8550129752984276,-0.5806213529228855,nan,-0.5806213529228837,nan,-2108.0503301486524,-inf,-2108.050330148649,-inf,False
large_simple,SIS,0.6,0.2,0.0,0.0,0.5542920521985555,0.8550129752984276,0.5542920521985558,0.8550129752984276,-0.9886041687584055,nan,-0.9886041687584065,nan,-7007.61804313927,-inf,-7007.618043139281,-inf,False
large_simple,SIS,0.6,0.3,0.0,0.0,0.4156196332208023,0.8550129752984276,0.4156196332208025,0.8550129752984276,-0.9549678662599447,nan,-0.9549678662599453,nan,-5272.648581832859,-inf,-5272.648581832871,-inf,False
large_simple,SIS,0.6,0.4,0.0,0.0,0.27706729280723474,0.8550129752984276,0.2770672928072344,0.8550129752984276,-0.8583821410315587,nan,-0.8583821410315599,nan,-3136.069915966131,-inf,-3136.069915966122,-inf,False
large_simple,SIS,0.6,0.5,0.0,0.0,0.1390588727613812,0.8550129752984276,0.13905887276138107,0.8550129752984276,0.6679416721209013,nan,0.6679416721209009,nan,-1026.0218357431966,-inf,-1026.021835743194,-inf,False
large_simple,SIS,0.6,0.6,0.0,0.0,0.010124917986253172,0.8550129752984276,0.010124917986253095,0.8550129752984276,0.4835635329342396,nan,0.48356353293423954,nan,-5.2933432300645435,-inf,-5.293343230064464,-inf,False
large_simple,SIS,0.6,0.7,0.0,0.0,0.005349200348331222,0.8550129752984276,0.005349200348331214,0.8550129752984276,0.6615387556548125,nan,0.6615387556548114,nan,-0.9146586236882435,-inf,-0.9146586236882379,-inf,False
large_simple,SIS,0.6,0.8,0.0,0.0,0.00403283989179419,0.8550129752984276,0.00403283989179419,0.8550129752984276,0.7316800899359033,nan,0.7316800899359039,nan,-0.132650007755706,-inf,-0.13265000775570512,-inf,False
large_simple,SIS,0.6,0.9,0.0,0.0,0.003336590057949828,0.8550129752984276,0.003336590057949824,0.8550129752984276,0.774522168193553,nan,0.7745221681935529,nan,0.21140341046211053,-inf,0.21140341046211253,-inf,False
